POINT_NAME,X,Y,HEIGHT,gGal,RANK
4891,202209,708399,49.22,979553.676,1
4441,202101,707399,41.491,979554.9899,1
3150,202049.581,706373.092,48.17,979556.4081,1
1003Q,202521,709657,54.482,979551.6639,1
1983b,198906,707249,45.635,979556.0648,1
4825,194005,707699,14.033,979555.499,1
48251,193189,707817,19.907,979556.6079,1
4824,194610,706734,14.299,979554.0888,1
3505,200606,708380,44.274,979556.7098,1
48231,198080.5,706729,42.367,979555.2362,1
35051,201507,709849,47.916,979553.5251,1
380U,199056.667,707263.124,46.597,979556.2784,1
5109,216494,718299,181.672,979532.3994,1
5106,211563,713441,180.159,979509.9528,1
4153,206009,711199,94.442,979542.9387,1
5102,204513,710159,67.232,979547.542,1
5103,207096,711906,98.524,979536.8606,1
5104,209364,712479,133.103,979521.1456,1
4151,213399,714499,226.238,979509.9765,1
5105,210292,712671,149.085,979514.5394,1
5108,214395,715699,269.235,979515.8785,1
5107,212271,714081,201.982,979509.0633,1
30491,205015,710519,72.791,979546.527,1
30521,216093,717899,187.912,979529.8966,1
5110,215447,717017,212.999,979525.2569,1
4152,208300,712179,115.901,979528.233,1
44531,217597,719399,110.747,979539.9048,1
30541,214868.5,723591,92.223,979539.2975,1
4839,217118,722213,126.696,979538.7887,1
4454,217845,721458,122.189,979541.7897,1
44542,217908,720649,108.968,979541.3593,1
4455,212123.463,726776.907,62.224,979558.7537,1
44551,211581.7,727965.2,54.559,979562.0315,1
708,211227,728783,56.647,979563.9582,1
3054,215869,722868,100.043,979536.3025,1
761A1,212694,725799,71.115,979555.8575,1
44541,216744,722418,115.76,979537.7223,1
502U,213122.286,725159.963,83.434,979554.2734,1
2319b,207890,727835,141.626,979551.854,1
2306b,200148,722149,39.439,979571.5948,1
2307b,200613,722767,88.835,979569.1083,1
4110,200661,722749,87.421,979568.8907,1
4112,202504,723249,83.576,979560.4894,1
44641,206985,727397,177.206,979544.0695,1
4465,205738,725458,187.195,979547.7938,1
44661,203496,723849,123.267,979554.4534,1
4467,198795,721799,34.121,979576.5694,1
4464,208204.969,728270.578,121.538,979553.5361,1
685A1,206490,726899,216.155,979543.3701,1
686A1,201299,722999,66.763,979566.2102,1
2309b,202044,723199,78.968,979562.7171,1
2310b,202494,723399,91.384,979560.4424,1
2311b,203346,723749,101.995,979555.1488,1
2312b,203697,724069,121.657,979553.4765,1
2313b,205095,724719,159.884,979549.2407,1
2314b,205496,725049,177.357,979548.298,1
2315b,205776,725469,187.808,979547.7891,1
2340b,208644,728725,105.077,979555.3398,1
4463,210102,729701,76.472,979563.7778,1
41101,199998,722149,50.516,979572.1742,1
4466,204698,723999,146.749,979550.2641,1
2302b,196456,720693,29.621,979581.7928,1
35PU,197648.953,735578.912,41.687,979584.2838,1
750A1,197097,736399,23.296,979592.2735,1
751A1,197391,739199,29.227,979594.1784,1
751A2,197994,740399,53.105,979584.3878,1
3516,196133,726678,24.124,979592.9702,1
35161,196293,726099,25.041,979592.0676,1
35171,196496,729399,25.819,979591.7924,1
4827,196023.28,723923.32,33.702,979590.0539,1
719A1,197397,734300,34.138,979586.5144,1
35181,196691,732200,28.122,979591.7362,1
4829,197951,739577,55.705,979587.7221,1
259A1,196406,727748,24.056,979592.2442,1
3517,196791,730428,23.071,979589.9704,1
4830,197993,740399,53.445,979584.3977,1
29F1,194797,721034,16.5,979585.3996,1
65PU,194469.468,719599.085,28.694,979580.8052,1
687A1,193545,715571,8.205,979575.3495,1
4155,194190,711199,22.18,979567.1534,1
3173,192747,709641,20.059,979563.014,1
4470,193393,713499,10.959,979575.8544,1
4468,194525,719880,24.743,979581.0497,1
4067,229026,735169,429.493,979501.1358,1
4072,221571,741693,226.151,979545.4143,1
4073,220315,741712,188.323,979543.8112,1
4752,220902,741499,227.853,979544.3907,1
47541,225008,737899,201.56,979537.2333,1
4756,228233.5,735804.3,380.348,979509.5965,1
4755,227319,736463,286.305,979519.7503,1
4754,225803,737377,233.087,979531.8287,1
3138N,227769.24,736280.14,313.707,979516.362,1
4855,229561,734131,432.004,979491.8695,1
4852,228160,732640,319.738,979498.7804,1
4851,227624,733009,349.246,979497.0088,1
48551,229613,734958,466.134,979498.3155,1
4749,216200,744500,132.91,979568.642,1
47492,216794,743999,133.316,979563.29,1
4750,218270,743669,158.986,979553.5187,1
736A1,215598,745099,139.382,979573.9248,1
47471,213197,743499,60.429,979576.5161,1
4748,213690,744699,94.324,979578.5695,1
4057,209637,741638,10.715,979585.9836,1
40571,210140,741499,13.053,979582.7313,1
4747,212607,742562,22.885,979576.6233,2
4745,206995,739699,8.228,979590.7887,1
4746,208094,740599,8.363,979589.6326,1
47461,208997,741149,10.918,979586.8721,1
4837,209207,736299,16.605,979572.619,1
4838,210100,732299,35.201,979563.4815,1
48381,210204,731699,37.417,979565.2825,1
757A1,209207,736799,19.744,979574.4671,1
758A1,209505,735599,19.244,979568.4839,1
759A1,209805,733699,21.429,979564.1698,1
4117,210301,730799,60.935,979565.7173,1
4666,206842,739799,13.707,979591.1208,1
4474,226744,723426,57.382,979544.7502,1
32FE,227537,723885,62.636,979543.1123,1
1055,220448,720880,68.744,979546.6884,1
10551,222105,721599,57.789,979547.031,1
4854,224999,722799,56.917,979545.7346,1
742A1,217497,719499,130.068,979539.7014,1
230,227045.06,731975.32,264.926,979503.3942,1
504U,227478.756,730929.885,126.872,979511.3267,1
3048,227250,731149,186.841,979508.631,1
30481,227212.8,731462.5,236.561,979507.8804,1
31461,227496,727799,92.591,979540.8916,1
6043,227526,726099,74.096,979544.0297,1
6044,227724,729274,92.168,979530.2716,1
6045,227644,729149,90.716,979531.4369,1
4850,227525,724018,64.758,979543.2485,1
4570,228611,723621,61.014,979539.4334,1
6001,229550,722249,39.615,979536.0433,1
4569,229909,721980,37.949,979534.3043,1
4528,230730,720667,21.362,979534.7134,1
6002,230685,720634,19.661,979535.0068,2
752A1,197694,743099,39.689,979591.6262,1
4832,197291,744799,43.826,979601.5288,1
4831,197551,743743,55.566,979595.0876,1
4664,200058,747482,4.499,979615.4453,1
3526,198240,748299,5.607,979628.9556,1
35261,196992,748299,10.941,979631.7127,1
28FA,196473,747741,25.663,979627.3791,1
4833,196315,747275,19.858,979623.093,1
4665,201492,745212,5.242,979604.2611,1
4834,202291,744478,19.756,979601.4417,1
4903,205005,740599,93.358,979588.8623,1
4904,205200,741099,36.984,979591.9678,1
4905,204809,741199,69.381,979591.815,1
4906,204509,740799,119.806,979588.5979,1
1165,205000,741499,18.728,979593.4054,1
4836,205890,740396,6.934,979590.822,1
4835,203954,742383,10.579,979597.2545,1
25FE,214264,747450,42.628,979586.6601,1
11PU,209817.249,744744.732,12.311,979591.043,1
3536,209892,743913,10.2,979589.9272,1
35361,209853,742967,10.291,979588.6891,1
4058,211745,747404.2,35.732,979593.3538,1
40581,212802,747470,35.14,979590.7159,1
40582,210896,747059,21.547,979593.8005,1
266A1,210111,746435,24.535,979593.7754,1
266A2,210081,745541,17.448,979591.4351,1
507U,232627.061,740850.509,180.941,979531.1834,1
506U,230817.138,737622.047,361.247,979521.3724,1
6059,235595,741174,180.777,979516.8374,1
6058,232606.574,740783.102,186.405,979531.2894,1
6056,232747,740800,177.066,979530.5146,1
6055,231994,738898,227.935,979529.2288,1
6053,229846.467,736391.679,316.199,979513.296,1
6052,229088,735264,422.003,979501.994,1
6049,228510,733359,319.426,979494.4981,1
6051,229030.3,735218.9,426.217,979501.6251,1
6047,227526,732929,350.64,979497.4948,1
6048,227603,733099,348.859,979496.6622,1
6046,227177,731611.9,242.801,979506.5119,1
505U,229844.416,734533.865,445.131,979495.2413,1
6066,238212,744823,261.4,979523.9968,1
6067,237824.228,746012.903,287.59,979528.9426,1
6068,237415,748709,199.769,979547.6835,1
6069,237679,750700,83.304,979548.5494,1
6070,238652,754224,160.814,979526.828,1
6072,238932,757329,278.382,979499.9505,1
3044,239357,758048,291.245,979486.9927,1
6060,238549,742324,219.277,979519.378,1
512U,232956.29,762269.822,744.68,979446.1051,1
3072,236369,769922,866.415,979441.3817,1
3074,233811.03,768629.73,669.72,979440.0539,1
6080,232099,769199,591.438,979452.8819,1
6081,238179.6,770127,786.155,979442.4751,4
80731,234334.3,768351.2,740.207,979435.4564,1
8068,230202,769149,553.51,979468.764,1
757,232912,763588,652.569,979442.4663,1
